언어명,시군구명,시도명,관광지명,url,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,경주시,경상북도,Girimsa Temple (기림사),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=993748,인문(문화/예술/역사),역사관광지,사찰,43
영어권,경주시,경상북도,Gyeongju Najeong Well (경주 나정),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=994077,인문(문화/예술/역사),역사관광지,유적지/사적지,42
영어권,경주시,경상북도,Tomb of King Wonseong (경주 원성왕릉),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=999476,인문(문화/예술/역사),역사관광지,유적지/사적지,39
영어권,경주시,경상북도,Gameunsaji Temple Site (경주 감은사지),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264366,인문(문화/예술/역사),역사관광지,유적지/사적지,36
영어권,경주시,경상북도,Seated Rock-carved Buddha at Golgulam Temple (경주 골굴암 마애여래좌상),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1863121,인문(문화/예술/역사),역사관광지,유적지/사적지,29
영어권,경주시,경상북도,Gyeongju Arts Center (경주예술의전당),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1267886,인문(문화/예술/역사),문화시설,공연장,25
영어권,경주시,경상북도,Wooyang Art Museum (우양미술관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=804441,인문(문화/예술/역사),문화시설,미술관/화랑,22
영어권,경주시,경상북도,Gwanseong Solbat Beach (관성솔밭해변),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1989093,자연,자연관광지,해수욕장,20
영어권,경주시,경상북도,Gyeongsangbuk-do Forest Research Institute (경상북도 산림환경연구원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2434629,자연,자연관광지,수목원,16
영어권,경주시,경상북도,Tohamsan National Recreational Forest (토함산자연휴양림),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=616141,자연,자연관광지,자연휴양림,10
영어권,경주시,경상북도,Hwangnamguan [Korea Quality] / 주식회사 황남관 [한국관광 품질인증],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2597077,숙박,숙박시설,한옥,9
영어권,경주시,경상북도,Bomun Golf Club (보문골프클럽),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=266856,레포츠,육상 레포츠,골프,6
영어권,경주시,경상북도,SOSEOLJAE [Korea Quality] / 소설재(첨성대점) [한국관광 품질인증],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2545384,숙박,숙박시설,한옥,5
영어권,경주시,경상북도,Hyangdan [Korea Quality] / 향단 [한국관광 품질인증],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2006080,숙박,숙박시설,한옥,4
영어권,경주시,경상북도,Tobaki (토박이),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=635981,음식,음식점,한식,2
영어권,경주시,경상북도,Gyeongju Country Club (경주컨트리클럽),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=266842,레포츠,육상 레포츠,골프,2
영어권,경주시,경상북도,BENIKEA Swiss Rosen Hotel Gyeongju (베니키아 스위스로젠 호텔 (경주)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1398742,숙박,숙박시설,관광호텔,1
영어권,경주시,경상북도,Commodore Hotel Gyeongju (코모도호텔 경주),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=349673,숙박,숙박시설,관광호텔,1
영어권,경주시,경상북도,Gyeongju Jungang Market (경주 중앙시장),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1945431,쇼핑,쇼핑,상설시장,1
영어권,경주시,경상북도,GUTORAN [Korea Quality] / 구토란펜션 [한국관광 품질인증],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2545329,숙박,숙박시설,펜션,1
영어권,경주시,경상북도,Gyeongju Soohojeong [Korea Quality] / 경주수호정 [한국관광 품질인증],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2596917,숙박,숙박시설,게스트하우스,1
영어권,경주시,경상북도,Wadamjung [Korea Quality] / 와담정 [한국관광 품질인증],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2545396,숙박,숙박시설,펜션,1
영어권,경주시,경상북도,Cheonggong [Korea Quality] / 청공한옥 [한국관광 품질인증],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2595498,숙박,숙박시설,한옥,1
